Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2018/6/29,2789.811,2848.372,2782.381,2847.418,0.021716
000001,2018/7/2,2841.579,2845.68,2756.815,2775.557,-0.025237
000001,2018/7/3,2774.57,2786.888,2722.448,2786.888,0.004082
000001,2018/7/4,2776.632,2793.179,2754.155,2759.126,-0.009962
000001,2018/7/5,2755.339,2777.523,2727.94,2733.882,-0.009149
000001,2018/7/6,2731.353,2768.874,2691.021,2747.229,0.004882
000001,2018/7/9,2752.447,2815.79,2752.447,2815.11,0.024709
000001,2018/7/10,2819.712,2828.493,2800.625,2827.625,0.004446
000001,2018/7/11,2780.704,2794.36,2752.435,2777.771,-0.017631
000001,2018/7/12,2771.041,2844.193,2771.041,2837.659,0.02156
000001,2018/7/13,2831.428,2835.463,2818.848,2831.184,-0.002282
000001,2018/7/16,2827.082,2837.509,2804.493,2814.042,-0.006055
000001,2018/7/17,2806.885,2806.919,2774.762,2798.126,-0.005656
000001,2018/7/18,2801.777,2818.395,2786.04,2787.257,-0.003884
000001,2018/7/19,2791.016,2805.011,2764.486,2772.545,-0.005278
000001,2018/7/20,2769.754,2837.862,2753.84,2829.271,0.02046
000001,2018/7/23,2815.201,2863.571,2809.616,2859.542,0.010699
000001,2018/7/24,2862.267,2911.465,2862.267,2905.562,0.016093
000001,2018/7/25,2911.453,2912.313,2894.039,2903.647,-0.000659
000001,2018/7/26,2905.794,2915.297,2875.701,2882.225,-0.007378
000001,2018/7/27,2879.69,2889.694,2864.11,2873.594,-0.002995
000001,2018/7/30,2871.94,2896.011,2850.296,2869.05,-0.001581
000001,2018/7/31,2866.898,2884.68,2854.32,2876.401,0.002562
000001,2018/8/1,2882.506,2897.4,2823.929,2824.534,-0.018032
000001,2018/8/2,2815.344,2815.344,2726.483,2768.024,-0.020007
000001,2018/8/3,2763.396,2777.657,2740.432,2740.443,-0.009964
000001,2018/8/6,2736.526,2760.474,2692.322,2705.157,-0.012876
